date,county,state,fips,cases,deaths
2020-03-06,Charleston,South Carolina,45019,1,0
2020-03-06,Kershaw,South Carolina,45055,1,0
2020-04-06,Abbeville,South Carolina,45001,6,0
2020-04-06,Aiken,South Carolina,45003,27,1
2020-04-06,Allendale,South Carolina,45005,2,0
2020-04-06,Anderson,South Carolina,45007,72,4
2020-04-06,Bamberg,South Carolina,45009,5,0
2020-04-06,Barnwell,South Carolina,45011,3,0
2020-04-06,Beaufort,South Carolina,45013,163,4
2020-04-06,Berkeley,South Carolina,45015,52,0
2020-04-06,Calhoun,South Carolina,45017,5,1
2020-04-06,Charleston,South Carolina,45019,300,1
2020-04-06,Cherokee,South Carolina,45021,4,0
2020-04-06,Chester,South Carolina,45023,14,0
2020-04-06,Chesterfield,South Carolina,45025,15,0
2020-04-06,Clarendon,South Carolina,45027,58,2
2020-04-06,Colleton,South Carolina,45029,10,0
2020-04-06,Darlington,South Carolina,45031,27,0
2020-04-06,Dillon,South Carolina,45033,1,0
2020-04-06,Dorchester,South Carolina,45035,52,0
2020-04-06,Edgefield,South Carolina,45037,6,0
2020-04-06,Fairfield,South Carolina,45039,16,0
2020-04-06,Florence,South Carolina,45041,39,5
2020-04-06,Georgetown,South Carolina,45043,21,1
2020-04-06,Greenville,South Carolina,45045,204,2
2020-04-06,Greenwood,South Carolina,45047,11,0
2020-04-06,Hampton,South Carolina,45049,3,0
2020-04-06,Horry,South Carolina,45051,76,6
2020-04-06,Jasper,South Carolina,45053,11,0
2020-04-06,Kershaw,South Carolina,45055,152,2
2020-04-06,Lancaster,South Carolina,45057,43,0
2020-04-06,Laurens,South Carolina,45059,6,0
2020-04-06,Lee,South Carolina,45061,18,2
2020-04-06,Lexington,South Carolina,45063,124,3
2020-04-06,Marion,South Carolina,45067,4,1
2020-04-06,Marlboro,South Carolina,45069,6,0
2020-04-06,McCormick,South Carolina,45065,2,0
2020-04-06,Newberry,South Carolina,45071,7,0
2020-04-06,Oconee,South Carolina,45073,8,0
2020-04-06,Orangeburg,South Carolina,45075,28,0
2020-04-06,Pickens,South Carolina,45077,20,0
2020-04-06,Richland,South Carolina,45079,311,7
2020-04-06,Saluda,South Carolina,45081,4,0
2020-04-06,Spartanburg,South Carolina,45083,88,1
2020-04-06,Sumter,South Carolina,45085,90,3
2020-04-06,Union,South Carolina,45087,12,0
2020-04-06,Williamsburg,South Carolina,45089,11,0
2020-04-06,York,South Carolina,45091,95,2
2020-05-06,Abbeville,South Carolina,45001,33,0
2020-05-06,Aiken,South Carolina,45003,108,6
2020-05-06,Allendale,South Carolina,45005,18,2
2020-05-06,Anderson,South Carolina,45007,173,8
2020-05-06,Bamberg,South Carolina,45009,14,0
2020-05-06,Barnwell,South Carolina,45011,28,0
2020-05-06,Beaufort,South Carolina,45013,269,12
2020-05-06,Berkeley,South Carolina,45015,189,14
2020-05-06,Calhoun,South Carolina,45017,7,1
2020-05-06,Charleston,South Carolina,45019,464,9
2020-05-06,Cherokee,South Carolina,45021,19,0
2020-05-06,Chester,South Carolina,45023,34,0
2020-05-06,Chesterfield,South Carolina,45025,65,1
2020-05-06,Clarendon,South Carolina,45027,248,24
2020-05-06,Colleton,South Carolina,45029,32,4
2020-05-06,Darlington,South Carolina,45031,151,2
2020-05-06,Dillon,South Carolina,45033,74,0
2020-05-06,Dorchester,South Carolina,45035,103,3
2020-05-06,Edgefield,South Carolina,45037,35,2
2020-05-06,Fairfield,South Carolina,45039,74,2
2020-05-06,Florence,South Carolina,45041,358,19
2020-05-06,Georgetown,South Carolina,45043,48,3
2020-05-06,Greenville,South Carolina,45045,803,42
2020-05-06,Greenwood,South Carolina,45047,61,0
2020-05-06,Hampton,South Carolina,45049,27,0
2020-05-06,Horry,South Carolina,45051,238,18
2020-05-06,Jasper,South Carolina,45053,21,1
2020-05-06,Kershaw,South Carolina,45055,245,10
2020-05-06,Lancaster,South Carolina,45057,99,4
2020-05-06,Laurens,South Carolina,45059,42,2
2020-05-06,Lee,South Carolina,45061,70,8
2020-05-06,Lexington,South Carolina,45063,442,18
2020-05-06,Marion,South Carolina,45067,41,2
2020-05-06,Marlboro,South Carolina,45069,54,1
2020-05-06,McCormick,South Carolina,45065,7,1
2020-05-06,Newberry,South Carolina,45071,31,1
2020-05-06,Oconee,South Carolina,45073,31,0
2020-05-06,Orangeburg,South Carolina,45075,95,2
2020-05-06,Pickens,South Carolina,45077,61,1
2020-05-06,Richland,South Carolina,45079,1014,49
2020-05-06,Saluda,South Carolina,45081,73,0
2020-05-06,Spartanburg,South Carolina,45083,318,12
2020-05-06,Sumter,South Carolina,45085,271,12
2020-05-06,Union,South Carolina,45087,26,0
2020-05-06,Williamsburg,South Carolina,45089,100,4
2020-05-06,York,South Carolina,45091,222,5
2020-06-06,Abbeville,South Carolina,45001,49,0
2020-06-06,Aiken,South Carolina,45003,207,8
2020-06-06,Allendale,South Carolina,45005,39,3
2020-06-06,Anderson,South Carolina,45007,269,9
2020-06-06,Bamberg,South Carolina,45009,32,0
2020-06-06,Barnwell,South Carolina,45011,54,1
2020-06-06,Beaufort,South Carolina,45013,421,14
2020-06-06,Berkeley,South Carolina,45015,263,17
2020-06-06,Calhoun,South Carolina,45017,20,1
2020-06-06,Charleston,South Carolina,45019,745,14
2020-06-06,Cherokee,South Carolina,45021,66,5
2020-06-06,Chester,South Carolina,45023,100,1
2020-06-06,Chesterfield,South Carolina,45025,242,5
2020-06-06,Clarendon,South Carolina,45027,305,40
2020-06-06,Colleton,South Carolina,45029,132,14
2020-06-06,Darlington,South Carolina,45031,326,11
2020-06-06,Dillon,South Carolina,45033,185,3
2020-06-06,Dorchester,South Carolina,45035,198,3
2020-06-06,Edgefield,South Carolina,45037,54,2
2020-06-06,Fairfield,South Carolina,45039,208,17
2020-06-06,Florence,South Carolina,45041,711,40
2020-06-06,Georgetown,South Carolina,45043,80,3
2020-06-06,Greenville,South Carolina,45045,2012,59
2020-06-06,Greenwood,South Carolina,45047,172,3
2020-06-06,Hampton,South Carolina,45049,40,1
2020-06-06,Horry,South Carolina,45051,570,31
2020-06-06,Jasper,South Carolina,45053,46,2
2020-06-06,Kershaw,South Carolina,45055,373,14
2020-06-06,Lancaster,South Carolina,45057,199,6
2020-06-06,Laurens,South Carolina,45059,84,4
2020-06-06,Lee,South Carolina,45061,227,17
2020-06-06,Lexington,South Carolina,45063,807,37
2020-06-06,Marion,South Carolina,45067,79,5
2020-06-06,Marlboro,South Carolina,45069,202,3
2020-06-06,McCormick,South Carolina,45065,10,1
2020-06-06,Newberry,South Carolina,45071,77,1
2020-06-06,Oconee,South Carolina,45073,57,0
2020-06-06,Orangeburg,South Carolina,45075,250,4
2020-06-06,Pickens,South Carolina,45077,190,4
2020-06-06,Richland,South Carolina,45079,1718,68
2020-06-06,Saluda,South Carolina,45081,151,1
2020-06-06,Spartanburg,South Carolina,45083,743,30
2020-06-06,Sumter,South Carolina,45085,448,19
2020-06-06,Union,South Carolina,45087,41,0
2020-06-06,Williamsburg,South Carolina,45089,256,14
2020-06-06,York,South Carolina,45091,458,10
2020-07-06,Abbeville,South Carolina,45001,135,0
2020-07-06,Aiken,South Carolina,45003,516,10
2020-07-06,Allendale,South Carolina,45005,64,3
2020-07-06,Anderson,South Carolina,45007,798,12
2020-07-06,Bamberg,South Carolina,45009,148,1
2020-07-06,Barnwell,South Carolina,45011,99,1
2020-07-06,Beaufort,South Carolina,45013,1515,23
2020-07-06,Berkeley,South Carolina,45015,1654,24
2020-07-06,Calhoun,South Carolina,45017,107,2
2020-07-06,Charleston,South Carolina,45019,5979,36
2020-07-06,Cherokee,South Carolina,45021,189,7
2020-07-06,Chester,South Carolina,45023,232,2
2020-07-06,Chesterfield,South Carolina,45025,400,15
2020-07-06,Clarendon,South Carolina,45027,450,43
2020-07-06,Colleton,South Carolina,45029,384,22
2020-07-06,Darlington,South Carolina,45031,498,16
2020-07-06,Dillon,South Carolina,45033,344,12
2020-07-06,Dorchester,South Carolina,45035,1133,5
2020-07-06,Edgefield,South Carolina,45037,100,3
2020-07-06,Fairfield,South Carolina,45039,316,22
2020-07-06,Florence,South Carolina,45041,1415,56
2020-07-06,Georgetown,South Carolina,45043,631,6
2020-07-06,Greenville,South Carolina,45045,6019,87
2020-07-06,Greenwood,South Carolina,45047,595,7
2020-07-06,Hampton,South Carolina,45049,87,2
2020-07-06,Horry,South Carolina,45051,4717,55
2020-07-06,Jasper,South Carolina,45053,188,3
2020-07-06,Kershaw,South Carolina,45055,790,17
2020-07-06,Lancaster,South Carolina,45057,571,14
2020-07-06,Laurens,South Carolina,45059,608,9
2020-07-06,Lee,South Carolina,45061,310,22
2020-07-06,Lexington,South Carolina,45063,2462,57
2020-07-06,Marion,South Carolina,45067,280,8
2020-07-06,Marlboro,South Carolina,45069,319,4
2020-07-06,McCormick,South Carolina,45065,26,2
2020-07-06,Newberry,South Carolina,45071,312,5
2020-07-06,Oconee,South Carolina,45073,334,1
2020-07-06,Orangeburg,South Carolina,45075,936,16
2020-07-06,Pickens,South Carolina,45077,1000,5
2020-07-06,Richland,South Carolina,45079,4216,87
2020-07-06,Saluda,South Carolina,45081,239,1
2020-07-06,Spartanburg,South Carolina,45083,1955,52
2020-07-06,Sumter,South Carolina,45085,1208,25
2020-07-06,Union,South Carolina,45087,116,0
2020-07-06,Williamsburg,South Carolina,45089,441,15
2020-07-06,York,South Carolina,45091,1544,12
2020-08-01,Abbeville,South Carolina,45001,288,7
2020-08-01,Aiken,South Carolina,45003,1538,26
2020-08-01,Allendale,South Carolina,45005,179,3
2020-08-01,Anderson,South Carolina,45007,2059,46
2020-08-01,Bamberg,South Carolina,45009,434,16
2020-08-01,Barnwell,South Carolina,45011,328,4
2020-08-01,Beaufort,South Carolina,45013,3577,48
2020-08-01,Berkeley,South Carolina,45015,3818,58
2020-08-01,Calhoun,South Carolina,45017,309,9
2020-08-01,Charleston,South Carolina,45019,11471,165
2020-08-01,Cherokee,South Carolina,45021,547,25
2020-08-01,Chester,South Carolina,45023,550,11
2020-08-01,Chesterfield,South Carolina,45025,687,19
2020-08-01,Clarendon,South Carolina,45027,777,50
2020-08-01,Colleton,South Carolina,45029,752,31
2020-08-01,Darlington,South Carolina,45031,1059,33
2020-08-01,Dillon,South Carolina,45033,552,23
2020-08-01,Dorchester,South Carolina,45035,2744,39
2020-08-01,Edgefield,South Carolina,45037,277,6
2020-08-01,Fairfield,South Carolina,45039,531,23
2020-08-01,Florence,South Carolina,45041,2938,96
2020-08-01,Georgetown,South Carolina,45043,1275,19
2020-08-01,Greenville,South Carolina,45045,10139,187
2020-08-01,Greenwood,South Carolina,45047,1237,15
2020-08-01,Hampton,South Carolina,45049,345,7
2020-08-01,Horry,South Carolina,45051,8050,129
2020-08-01,Jasper,South Carolina,45053,500,13
2020-08-01,Kershaw,South Carolina,45055,1267,23
2020-08-01,Lancaster,South Carolina,45057,1039,21
2020-08-01,Laurens,South Carolina,45059,1206,34
2020-08-01,Lee,South Carolina,45061,513,27
2020-08-01,Lexington,South Carolina,45063,4580,101
2020-08-01,Marion,South Carolina,45067,513,12
2020-08-01,Marlboro,South Carolina,45069,429,4
2020-08-01,McCormick,South Carolina,45065,103,2
2020-08-01,Newberry,South Carolina,45071,760,8
2020-08-01,Oconee,South Carolina,45073,738,7
2020-08-01,Orangeburg,South Carolina,45075,2152,57
2020-08-01,Pickens,South Carolina,45077,1708,23
2020-08-01,Richland,South Carolina,45079,7866,133
2020-08-01,Saluda,South Carolina,45081,408,7
2020-08-01,Spartanburg,South Carolina,45083,3700,82
2020-08-01,Sumter,South Carolina,45085,2289,45
2020-08-01,Union,South Carolina,45087,332,2
2020-08-01,Williamsburg,South Carolina,45089,901,27
2020-08-01,York,South Carolina,45091,3134,28